Item Name,Variation Name,SKU,Description,Category,Weight (lb),Price,Option Value 1,Current Quantity,Day Sales,Location
Espresso,Regular,ESP001,"A shot of intense, concentrated coffee served in a small cup.",Coffee,0.5,2.5,Regular,247,14,Philadelphia 40th street Near Drexel University
Espresso,Regular,ESP001,"A shot of intense, concentrated coffee served in a small cup.",Coffee,0.5,2.5,Regular,75,16,Philadelphia 1st street
Cappuccino,Small,CAP002,Espresso with steamed milk and a generous foam layer.,Coffee,0.6,3.5,Small,146,5,Philadelphia 40th street Near Drexel University
Cappuccino,Small,CAP002,Espresso with steamed milk and a generous foam layer.,Coffee,0.6,3.5,Small,94,51,Philadelphia 1st street
Cafe Latte,Regular,CLT003,"Espresso with steamed milk, topped with a thin layer of foam.",Coffee,0.7,4.0,Regular,120,4,Philadelphia 40th street Near Drexel University
Cafe Latte,Regular,CLT003,"Espresso with steamed milk, topped with a thin layer of foam.",Coffee,0.7,4.0,Regular,110,5,Philadelphia 1st street
Americano,Single Shot,AMS004,"Espresso diluted with hot water, creating a lighter-bodied coffee.",Coffee,0.6,3.0,Single Shot,130,7,Philadelphia 40th street Near Drexel University
Americano,Single Shot,AMS004,"Espresso diluted with hot water, creating a lighter-bodied coffee.",Coffee,0.6,3.0,Single Shot,245,8,Philadelphia 1st street
Mocha,Regular,MOCH005,"Espresso with steamed milk, cocoa powder, and topped with whipped cream.",Coffee,0.8,4.5,Regular,104,1,Philadelphia 40th street Near Drexel University
Mocha,Regular,MOCH005,"Espresso with steamed milk, cocoa powder, and topped with whipped cream.",Coffee,0.8,4.5,Regular,88,22,Philadelphia 1st street
Macchiato,Single Shot,MAC006,"Espresso ""stained"" with a small amount of steamed milk.",Coffee,0.4,2.75,Single Shot,140,1,Philadelphia 40th street Near Drexel University
Macchiato,Single Shot,MAC006,"Espresso ""stained"" with a small amount of steamed milk.",Coffee,0.4,2.75,Single Shot,135,2,Philadelphia 1st street
Flat White,Regular,FW007,"Espresso with velvety steamed milk, creating a balanced, creamy coffee.",Coffee,0.7,4.5,Regular,110,9,Philadelphia 40th street Near Drexel University
Flat White,Regular,FW007,"Espresso with velvety steamed milk, creating a balanced, creamy coffee.",Coffee,0.7,4.5,Regular,100,7,Philadelphia 1st street
Latte Macchiato,Tall,LM008,"Layered drink of steamed milk, espresso, and a hint of foam.",Coffee,0.8,4.75,Tall,120,3,Philadelphia 40th street Near Drexel University
Latte Macchiato,Tall,LM008,"Layered drink of steamed milk, espresso, and a hint of foam.",Coffee,0.8,4.75,Tall,115,2,Philadelphia 1st street
Croissant,Plain,CROIS009,"Buttery, flaky pastry perfect for breakfast or a light snack.",Pastries,0.3,2.0,Plain,200,8,Philadelphia 40th street Near Drexel University
Croissant,Plain,CROIS009,"Buttery, flaky pastry perfect for breakfast or a light snack.",Pastries,0.3,2.0,Plain,190,6,Philadelphia 1st street
Chocolate Croissant,Regular,CHCRO010,"Croissant filled with rich chocolate, a delightful treat for chocolate lovers.",Pastries,0.4,2.5,Regular,150,5,Philadelphia 40th street Near Drexel University
Chocolate Croissant,Regular,CHCRO010,"Croissant filled with rich chocolate, a delightful treat for chocolate lovers.",Pastries,0.4,2.5,Regular,140,4,Philadelphia 1st street
Almond Croissant,Regular,ALCRO011,Croissant filled with almond paste and topped with sliced almonds.,Pastries,0.4,2.75,Regular,120,8,Philadelphia 40th street Near Drexel University
Almond Croissant,Regular,ALCRO011,Croissant filled with almond paste and topped with sliced almonds.,Pastries,0.4,2.75,Regular,115,7,Philadelphia 1st street
Bagel,Plain,BAG013,"Classic New York style bagel, perfect for toasting and spreading with your favorite toppings.",Pastries,0.5,2.25,Plain,180,5,Philadelphia 40th street Near Drexel University
